T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__ruminococcus_torques,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb04610,s__clostridium_asparagiforme,0.15,0.95,0.62,0.12,FALSE,TRUE,FALSE,TRUE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00626,s__parasutterella_excrementihominis,0.43,0.28,0.22,1,FALSE,TRUE,FALSE,TRUE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00626,s__parasutterella_excrementihominis,0.43,0.28,0.22,0.34,FALSE,TRUE,FALSE,TRUE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00626,s__holdemania_unclassified,0.43,0.28,0.24,1,FALSE,TRUE,FALSE,TRUE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00626,s__holdemania_unclassified,0.43,0.28,0.24,1,FALSE,TRUE,FALSE,TRUE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00626,s__burkholderiales_bacterium_1_1_47,0.43,0.28,0.8,0.15,FALSE,TRUE,FALSE,TRUE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00626,s__burkholderiales_bacterium_1_1_47,0.43,0.28,0.8,0.14,FALSE,TRUE,FALSE,TRUE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00239,s__bacteroides_eggerthii,0.43,0.2,0.26,0.71,FALSE,TRUE,FALSE,TRUE
s__lachnospiraceae_bacterium_3_1_46faa,,g__phosphoenolpyruvate carboxykinase atp,m__hmdb00019,s__dorea_unclassified,0.25,0.1,0.19,0.19,FALSE,TRUE,FALSE,TRUE
s__lachnospiraceae_bacterium_3_1_46faa,,g__dna-directed rna polymerase,m__hmdb11718,s__parasutterella_excrementihominis,0.42,0.73,0.69,0.34,FALSE,TRUE,FALSE,TRUE
s__lachnospiraceae_bacterium_3_1_46faa,,g__beta-ketoacyl-acyl-carrier-protein synthase ii,m__hmdb00626,s__lachnospiraceae_bacterium_3_1_46faa,0.68,0.48,1,1,FALSE,TRUE,FALSE,TRUE
s__burkholderiales_bacterium_1_1_47,,g__methionyl aminopeptidase,m__hmdb00626,s__burkholderiales_bacterium_1_1_47,0.22,0.28,0.8,1,FALSE,TRUE,FALSE,TRUE
s__bilophila_unclassified,,g__methionyl aminopeptidase,m__hmdb00239,s__bacteroides_eggerthii,0.22,0.2,0.26,0.67,FALSE,TRUE,FALSE,TRUE
s__bacteroides_xylanisolvens,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00174,s__alistipes_onderdonkii,0.36,0.85,0.99,0.86,FALSE,TRUE,FALSE,TRUE
s__bacteroides_xylanisolvens,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00174,s__alistipes_onderdonkii,0.36,0.85,0.99,0.14,FALSE,TRUE,FALSE,TRUE
s__bacteroides_massiliensis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__lachnospiraceae_bacterium_5_1_63faa,0.99,1,0.93,1,FALSE,TRUE,FALSE,TRUE
s__bacteroides_massiliensis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__lachnospiraceae_bacterium_5_1_63faa,0.99,1,0.93,1,FALSE,TRUE,FALSE,TRUE
s__bacteroides_massiliensis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb02123,s__eubacterium_ramulus,0.99,1,1,0.26,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__methionyl aminopeptidase,m__hmdb00806,s__holdemania_filiformis,0.57,0.95,1,0.21,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__methionyl aminopeptidase,m__hmdb00806,s__clostridium_symbiosum,0.57,0.95,1,0.36,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__methionyl aminopeptidase,m__hmdb00806,s__akkermansia_muciniphila,0.57,0.95,0.97,1,FALSE,TRUE,FALSE,TRUE
s__veillonella_dispar,,g__superoxide dismutase,m__hmdb03357,s__clostridium_bartlettii,0.18,0.89,1,0.83,FALSE,TRUE,FALSE,FALSE
s__veillonella_dispar,,g__superoxide dismutase,m__hmdb01232,s__parabacteroides_merdae,0.18,0.16,0.51,0.14,FALSE,TRUE,FALSE,FALSE
s__veillonella_dispar,,g__superoxide dismutase,m__hmdb01232,s__clostridium_symbiosum,0.18,0.16,0.13,0.72,FALSE,TRUE,FALSE,FALSE
s__veillonella_dispar,,g__superoxide dismutase,m__hmdb00562,s__ruminococcus_gnavus,0.18,1,0.35,0.86,FALSE,TRUE,FALSE,FALSE
s__veillonella_dispar,,g__superoxide dismutase,m__hmdb00197,s__veillonella_dispar,0.18,0.64,0.43,1,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__histidine kinase,m__hmdb03464,s__veillonella_dispar,0.37,0.23,0.11,0.89,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__histidine kinase,m__hmdb03464,s__streptococcus_thermophilus,0.37,0.23,0.51,0.48,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__enoyl-coa hydratase,m__hmdb02123,s__dorea_unclassified,1,0.29,0.69,0.26,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__enoyl-coa hydratase,m__hmdb00873,s__ruminococcus_callidus,1,0.99,1,0.17,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__cytochrome-c oxidase,m__hmdb00139,s__veillonella_atypica,0.54,0.21,0.11,1,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__cytochrome-c oxidase,m__hmdb00036,s__faecalibacterium_prausnitzii,0.54,0.1,0.46,0.78,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__cytochrome-c oxidase,m__hmdb00036,s__faecalibacterium_prausnitzii,0.54,0.1,0.46,0.12,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__cytochrome-c oxidase,m__hmdb00036,s__eubacterium_rectale,0.54,0.1,0.38,0.78,FALSE,TRUE,FALSE,FALSE
s__veillonella_atypica,,g__cytochrome-c oxidase,m__hmdb00036,s__clostridium_leptum,0.54,0.1,0.52,0.31,FALSE,TRUE,FALSE,FALSE
s__sutterella_wadsworthensis,,g__fructose-bisphosphate aldolase,m__hmdb10169,s__coprococcus_catus,0.19,0.43,0.37,0.16,FALSE,TRUE,FALSE,FALSE
s__sutterella_wadsworthensis,,g__fructose-bisphosphate aldolase,m__hmdb10169,s__coprococcus_catus,0.19,0.43,0.37,0.21,FALSE,TRUE,FALSE,FALSE
s__sutterella_wadsworthensis,,g__fructose-bisphosphate aldolase,m__hmdb10169,s__bacteroides_thetaiotaomicron,0.19,0.43,0.53,1,FALSE,TRUE,FALSE,FALSE
s__sutterella_wadsworthensis,,g__fructose-bisphosphate aldolase,m__hmdb00511,s__bacteroides_fragilis,0.19,0.56,0.1,0.69,FALSE,TRUE,FALSE,FALSE
s__sutterella_wadsworthensis,,g__fructose-bisphosphate aldolase,m__hmdb00156,s__sutterella_wadsworthensis,0.19,0.87,0.48,1,FALSE,TRUE,FALSE,FALSE
s__sutterella_wadsworthensis,,g__fructose-bisphosphate aldolase,m__hmdb00156,s__eubacterium_ventriosum,0.19,0.87,0.41,0.14,FALSE,TRUE,FALSE,FALSE
s__sutterella_wadsworthensis,,g__fructose-bisphosphate aldolase,m__hmdb00019,s__veillonella_unclassified,0.19,0.11,0.17,0.72,FALSE,TRUE,FALSE,FALSE
s__sutterella_wadsworthensis,,g__fructose-bisphosphate aldolase,m__hmdb00019,s__veillonella_parvula,0.19,0.11,0.62,0.92,FALSE,TRUE,FALSE,FALSE
s__streptococcus_thermophilus,,g__methionyl aminopeptidase,m__hmdb00511,s__bacteroides_fragilis,0.89,0.4,0.1,0.25,FALSE,TRUE,FALSE,FALSE
s__streptococcus_thermophilus,,g__methionyl aminopeptidase,m__hmdb00239,s__streptococcus_thermophilus,0.89,0.2,0.23,1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_thermophilus,,g__fructose-bisphosphate aldolase,m__hmdb00019,s__clostridium_bartlettii,0.17,0.11,0.13,0.17,FALSE,TRUE,FALSE,FALSE
s__streptococcus_thermophilus,,g__fructose-bisphosphate aldolase,m__hmdb00019,s__clostridium_bartlettii,0.17,0.11,0.13,1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_salivarius,,g__pyridoxine 5-phosphate synthase,m__hmdb00067,s__parasutterella_excrementihominis,0.97,0.13,0.1,0.42,FALSE,TRUE,FALSE,FALSE
s__streptococcus_salivarius,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb02123,s__eubacterium_hallii,0.12,0.22,0.1,0.21,FALSE,TRUE,FALSE,FALSE
s__streptococcus_salivarius,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00452,s__bacteroides_caccae,0.12,0.59,0.2,0.1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_salivarius,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00101,s__lachnospiraceae_bacterium_8_1_57faa,0.12,0.67,0.74,1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_salivarius,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00094,s__streptococcus_salivarius,0.12,0.31,0.88,1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_salivarius,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00056,s__ruminococcus_bromii,0.12,0.33,0.99,0.46,FALSE,TRUE,FALSE,FALSE
s__streptococcus_salivarius,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00036,s__clostridium_leptum,0.12,0.15,0.52,0.12,FALSE,TRUE,FALSE,FALSE
s__streptococcus_salivarius,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00036,s__clostridium_leptum,0.12,0.15,0.52,0.13,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__rna helicase,m__hmdb02322,s__pseudomonas_unclassified,1,0.2,0.56,0.95,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__rna helicase,m__hmdb02322,s__pseudomonas_unclassified,1,0.2,0.56,1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__nadh,m__hmdb01232,s__prevotella_copri,0.55,0.2,0.12,1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__nadh,m__hmdb01232,s__prevotella_copri,0.55,0.2,0.12,1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__glyceraldehyde-3-phosphate dehydrogenase phosphorylating,m__hmdb03464,s__klebsiella_pneumoniae,0.34,0.25,0.25,1,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__glyceraldehyde-3-phosphate dehydrogenase phosphorylating,m__hmdb03464,s__klebsiella_pneumoniae,0.34,0.25,0.25,0.99,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__dna helicase,m__hmdb01547,s__parasutterella_excrementihominis,0.69,0.65,0.17,0.1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__dna helicase,m__hmdb00063,s__alistipes_finegoldii,0.69,0.3,0.96,0.18,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__5-formyltetrahydrofolate cyclo-ligase,m__hmdb00094,s__ruminococcus_torques,0.15,0.31,0.56,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb01232,s__eggerthella_unclassified,0.72,0.16,0.17,0.79,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00197,s__odoribacter_splanchnicus,0.72,0.64,0.39,0.33,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00139,s__ruminococcus_obeum,0.72,0.13,0.46,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00139,s__ruminococcus_lactaris,0.72,0.13,0.94,0.87,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00139,s__clostridium_bolteae,0.72,0.13,0.92,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00138,s__roseburia_hominis,0.72,0.78,0.49,0.97,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00138,s__lachnospiraceae_bacterium_3_1_57faa_ct1,0.72,0.78,0.88,0.95,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00138,s__anaerotruncus_colihominis,0.72,0.78,0.97,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00138,s__anaerotruncus_colihominis,0.72,0.78,0.97,0.78,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00128,s__alistipes_shahii,0.72,0.25,0.51,0.15,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__superoxide dismutase,m__hmdb00118,s__coprococcus_comes,0.72,0.19,0.17,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__bacterial non-heme ferritin,m__hmdb02123,s__oscillibacter_unclassified,0.31,0.45,0.2,0.77,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_obeum,,g__16s rrna cytosine1402-n4-methyltransferase,m__hmdb00174,s__clostridiaceae_bacterium_jc118,0.91,0.83,0.46,0.97,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_lactaris,,g__bacterial non-heme ferritin,m__hmdb00289,s__streptococcus_salivarius,0.19,0.2,0.98,0.28,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_lactaris,,g__bacterial non-heme ferritin,m__hmdb00139,s__ruminococcus_obeum,0.19,0.19,0.46,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_lactaris,,g__bacterial non-heme ferritin,m__hmdb00139,s__ruminococcus_obeum,0.19,0.19,0.46,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_lactaris,,g__bacterial non-heme ferritin,m__hmdb00139,s__ruminococcus_lactaris,0.19,0.19,0.94,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_lactaris,,g__bacterial non-heme ferritin,m__hmdb00139,s__flavonifractor_plautii,0.19,0.19,0.23,0.38,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_lactaris,,g__bacterial non-heme ferritin,m__hmdb00118,s__clostridium_asparagiforme,0.19,0.21,0.98,0.81,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_gnavus,,g__glutamate dehydrogenase nadp+,m__hmdb00094,s__bacteroides_fragilis,0.19,0.95,0.14,0.32,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_gnavus,,g__glutamate dehydrogenase nadp+,m__hmdb00019,s__ruminococcus_gnavus,0.19,0.15,0.22,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_gnavus,,g__glutamate dehydrogenase nadp+,m__hmdb00019,s__roseburia_intestinalis,0.19,0.15,0.14,0.73,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_gnavus,,g__glutamate dehydrogenase nadp+,m__hmdb00019,s__roseburia_intestinalis,0.19,0.15,0.14,0.14,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__protein-npi-phosphohistidine--sugar phosphotransferase,m__hmdb00128,s__anaerotruncus_unclassified,0.96,0.22,0.11,0.99,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb02322,s__propionibacterium_acnes,1,0.24,1,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb02322,s__propionibacterium_acnes,1,0.24,1,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb02322,s__c2likevirus_unclassified,1,0.24,1,0.21,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb02123,s__anaerostipes_hadrus,1,0.45,0.26,0.7,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb02123,s__anaerostipes_hadrus,1,0.45,0.26,0.29,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb00699,s__ruminococcus_callidus,1,1,0.28,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb00289,s__clostridium_leptum,1,0.2,0.24,0.14,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb00289,s__clostridium_leptum,1,0.2,0.24,0.14,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb00139,s__lachnospiraceae_bacterium_8_1_57faa,1,0.19,0.33,0.18,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb00139,s__faecalibacterium_prausnitzii,1,0.19,0.15,0.89,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_callidus,,g__bacterial non-heme ferritin,m__hmdb00139,s__faecalibacterium_prausnitzii,1,0.19,0.15,0.1,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_bromii,,g__protein-npi-phosphohistidine--sugar phosphotransferase,m__hmdb02322,s__c2likevirus_unclassified,0.72,0.15,1,0.89,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_bromii,,g__protein-npi-phosphohistidine--sugar phosphotransferase,m__hmdb00764,s__parasutterella_excrementihominis,0.72,0.64,0.55,0.3,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00806,s__veillonella_unclassified,0.43,0.95,0.55,0.28,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00806,s__clostridium_symbiosum,0.43,0.95,1,0.4,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00806,s__akkermansia_muciniphila,0.43,0.95,0.97,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00806,s__akkermansia_muciniphila,0.43,0.95,0.97,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00511,s__ruminococcaceae_bacterium_d16,0.43,0.4,0.11,1,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__methionyl aminopeptidase,m__hmdb00511,s__coprobacillus_unclassified,0.43,0.4,0.26,0.64,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__glutamate dehydrogenase,m__hmdb00452,s__lachnospiraceae_bacterium_1_1_57faa,0.57,0.22,0.7,0.2,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__glutamate dehydrogenase,m__hmdb00138,s__clostridium_hathewayi,0.57,0.26,0.94,0.89,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__dna-directed rna polymerase,m__hmdb11718,s__dorea_longicatena,0.53,0.73,0.11,0.29,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__dna-directed rna polymerase,m__hmdb11718,s__dorea_longicatena,0.53,0.73,0.11,0.41,FALSE,TRUE,FALSE,FALSE
s__ruminococcaceae_bacterium_d16,,g__dna-directed rna polymerase,m__hmdb11718,s__alistipes_finegoldii,0.53,0.73,0.89,0.13,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__preq1 synthase,m__hmdb00043,s__akkermansia_muciniphila,0.1,0.29,0.1,0.97,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glycerol kinase,m__hmdb00630,s__ruminococcus_bromii,0.14,0.22,0.73,1,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glycerol kinase,m__hmdb00626,s__holdemania_filiformis,0.14,0.72,0.26,0.19,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glycerol kinase,m__hmdb00452,s__eubacterium_rectale,0.14,0.41,0.14,0.16,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__glycerol kinase,m__hmdb00197,s__faecalibacterium_prausnitzii,0.14,0.34,0.32,0.11,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb02329,s__ruminococcus_callidus,0.19,0.11,0.99,0.59,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb02329,s__propionibacterium_acnes,0.19,0.11,1,0.87,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb00511,s__roseburia_inulinivorans,0.19,0.56,0.25,1,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb00511,s__dialister_invisus,0.19,0.56,0.35,1,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb00511,s__dialister_invisus,0.19,0.56,0.35,1,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb00511,s__bacteroides_fragilis,0.19,0.56,0.1,0.64,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__pyridoxal 5-phosphate synthase,m__hmdb00637,s__sutterella_wadsworthensis,0.99,0.75,0.18,0.12,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__pyridoxal 5-phosphate synthase,m__hmdb00637,s__sutterella_wadsworthensis,0.99,0.75,0.18,0.75,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__pyridoxal 5-phosphate synthase,m__hmdb00626,s__bacteroides_thetaiotaomicron,0.99,0.1,0.95,1,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__pyridoxal 5-phosphate synthase,m__hmdb00619,s__roseburia_intestinalis,0.99,0.54,0.16,1,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__pyridoxal 5-phosphate synthase,m__hmdb00452,s__ruminococcus_gnavus,0.99,0.59,0.31,0.86,FALSE,TRUE,FALSE,FALSE
s__roseburia_hominis,,g__phosphoglycerate mutase 2:3-diphosphoglycerate-dependent,m__hmdb00873,s__roseburia_intestinalis,0.72,0.43,0.19,0.15,FALSE,TRUE,FALSE,FALSE
s__roseburia_hominis,,g__bacterial non-heme ferritin,m__hmdb00715,s__roseburia_hominis,0.5,0.89,0.89,1,FALSE,TRUE,FALSE,FALSE
s__roseburia_hominis,,g__bacterial non-heme ferritin,m__hmdb00699,s__eubacterium_ventriosum,0.5,1,0.45,0.16,FALSE,TRUE,FALSE,FALSE
s__roseburia_hominis,,g__bacterial non-heme ferritin,m__hmdb00289,s__ruminococcus_bromii,0.5,0.2,0.25,0.1,FALSE,TRUE,FALSE,FALSE
